Taxon,Date
KP670376.1,2014
KP670377.1,2014
KP670378.1,2014
KP670379.1,2014
KP670380.1,2014
KP670381.1,2014
KP670382.1,2014
KP670383.1,2014
KP670384.1,2014
KP670385.1,2014
KP670386.1,2014
KP670387.1,2014
KP670388.1,2014
KP670389.1,2014
KP670390.1,2014
KP670391.1,2014
KP670392.1,2014
KP670393.1,2014
KP670394.1,2014
KT962026.1,2014
KT826535.1,2014
KT715755.1,2014
KT715754.1,2014
KT448628.1,2014
KT448627.1,2014
KT366040.1,2014
KT366039.1,2014
KT366038.1,2014
KT359275.1,2014
KT359274.1,2014
KT359273.1,2014
KT222034.1,2014
KT222033.1,2014
KT222032.1,2014
KT222031.1,2014
KT222030.1,2014
KJ955453.1,2014
KJ955452.1,2014
KT070213.1,2014
KT070212.1,2014
KT070211.1,2014
KT070210.1,2014
KT070209.1,2014
KT070208.1,2014
KT070207.1,2014
KT030778.1,2014
KT030777.1,2014
KT030776.1,2014
KT030775.1,2014
KT030774.1,2014
KR914666.1,2014
KR914665.1,2014
KR914664.1,2014
KR914663.1,2014
KR914662.1,2014
KJ780744.1,2014
KJ780743.1,2014
KJ780742.1,2014
KJ780741.1,2014
KJ780740.1,2014
KJ780739.1,2014
KJ780738.1,2014
KJ780737.1,2014
KJ780736.1,2014
KJ780735.1,2014
KJ780734.1,2014
KJ780733.1,2014
KJ780732.1,2014
KJ638896.1,2014
KJ638895.1,2014
KJ638894.1,2014
KJ638893.1,2014
KJ638892.1,2014
KJ638891.1,2014
KJ638890.1,2014
KJ638889.1,2014
KR135072.1,2014
KJ619491.1,2014
KJ619490.1,2014
KP980707.1,2014
KP974589.1,2014
KP974590.1,2014
KP974591.1,2014
KP974592.1,2014
KP974593.1,2014
KP974594.1,2014
KP974595.1,2014
KP974596.1,2014
KP974597.1,2014
KP974598.1,2014
KP974599.1,2014
KP974600.1,2014
KP974601.1,2014
KP974602.1,2014
KP974603.1,2014
KP974604.1,2014
KP974605.1,2014
KP974606.1,2014
KP974607.1,2014
KP974608.1,2014
KP974609.1,2014
KP974610.1,2014
KP962555.1,2014
KP962556.1,2014
KP962557.1,2014
KP962558.1,2014
KP941064.1,2014
KP941065.1,2014
KP941066.1,2014
KP941067.1,2014
KP941068.1,2014
KP941069.1,2014
KP941070.1,2014
KP941071.1,2014
KP941072.1,2014
KP941073.1,2014
KP941074.1,2014
KP863939.1,2014
KP863938.1,2014
KP863937.1,2014
KP863936.1,2014
KP863935.1,2014
KP863934.1,2014
KP863933.1,2014
KP863932.1,2014
KP863931.1,2014
KP863930.1,2014
KP863929.1,2014
KP863928.1,2014
KP856712.1,2014
KP856711.1,2014
KP856710.1,2014
KP856709.1,2014
KP856708.1,2014
KP856707.1,2014
KP856706.1,2014
KP797977.1,2014
KP797976.1,2014
KP751362.1,2014
KP751363.1,2014
KP751364.1,2014
KP751365.1,2014
KP751366.1,2014
KP751367.1,2014
KP751368.1,2014
KP751369.1,2014
KM388989.1,2014
KM349382.1,2014
KM349383.1,2014
KM349384.1,2014
KM349385.1,2014
KM349386.1,2014
KM349387.1,2014
KM349388.1,2014
KM349389.1,2014
KM349390.1,2014
KM349391.1,2014
KM349392.1,2014
KM349393.1,2014
KM349394.1,2014
KM349395.1,2014
KM349396.1,2014
KM349397.1,2014
KM349398.1,2014
KM349399.1,2014
KM349400.1,2014
KM349401.1,2014
KM349402.1,2014
KM349403.1,2014
KM349404.1,2014
KM349405.1,2014
KM191168.1,2014
KM191167.1,2014
KM191166.1,2014
KM191165.1,2014
KM191164.1,2014
KJ934641.1,2014
KJ934642.1,2014
KJ934643.1,2014
KJ934644.1,2014
KJ934645.1,2014
KJ934646.1,2014
KJ934647.1,2014
KJ934648.1,2014
KJ934649.1,2014
KJ934650.1,2014
KJ934651.1,2014
KJ934652.1,2014
KJ923183.1,2014
KJ923184.1,2014
KJ923185.1,2014
KJ923186.1,2014
KJ923187.1,2014
KJ923188.1,2014
KJ923189.1,2014
KM017102.1,2014
KM017103.1,2014
KM017104.1,2014
KM017105.1,2014
KM017106.1,2014
KM017107.1,2014
KM017108.1,2014
KM017109.1,2014
KM017110.1,2014
KJ955454.1,2014
KJ955455.1,2014
KJ955456.1,2014
KJ955457.1,2014
KJ955458.1,2014
KJ955459.1,2014
KJ955460.1,2014
KJ955461.1,2014
KJ955462.1,2014
KJ955463.1,2014
KJ955464.1,2014
KJ955465.1,2014
KJ955466.1,2014
KJ731848.1,2014
KJ731847.1,2014
KJ731846.1,2014
KJ731845.1,2014
KJ731844.1,2014
KJ731843.1,2014
KJ731842.1,2014
KJ731841.1,2014
KJ731840.1,2014
KJ731839.1,2014
KJ731838.1,2014
KJ731837.1,2014
KJ731836.1,2014
KJ731835.1,2014
KJ619492.1,2014
KJ619493.1,2014
KJ619494.1,2014
KJ619495.1,2014
KJ619496.1,2014
KJ619497.1,2014
KJ619498.1,2014
KJ619499.1,2014
KJ619500.1,2014
KJ619501.1,2014
KJ596493.1,2014
KJ579275.1,2014
KJ579276.1,2014
KJ579277.1,2014
KJ579278.1,2014
KJ579279.1,2014
KJ579280.1,2014
KJ579281.1,2014
KJ579282.1,2014
KJ511007.1,2014
KJ511008.1,2014
KJ511009.1,2014
KJ511010.1,2014
KJ499190.1,2014
KJ499189.1,2014
KJ499188.1,2014
KJ499187.1,2014
KJ409438.1,2014
KJ409437.1,2014
KJ409436.1,2014
KF998278.1,2014
KF998277.1,2013
KF998276.1,2013
KF998275.1,2013
KF751189.1,2013
KF751188.1,2013
KF741221.1,2013
KF704008.1,2013
KF704007.1,2013
KF704006.1,2013
KF704005.1,2013
KF704004.1,2013
KF704003.1,2013
KJ598043.1,2013
KJ598042.1,2013
HM367087.1,2013
HM367086.1,2013
HM362784.1,2013
DQ839370.1,2013
DQ839369.1,2013
DQ839368.1,2013
DQ839367.1,2013
DQ839366.1,2013
KT835077.1,2013
KT835076.1,2013
KT835075.1,2013
KT835074.1,2013
KT835073.1,2013
KT835072.1,2013
KT835071.1,2013
KT835070.1,2013
KT835069.1,2013
KT835068.1,2013
KT835067.1,2013
KT835066.1,2013
KT835065.1,2013
KT835064.1,2013
KT835063.1,2013
KT835062.1,2013
KT835061.1,2013
KT835060.1,2013
KT835059.1,2013
KT835058.1,2013
DQ917452.1,2013
HM044306.1,2013
HM044305.1,2013
HM044303.1,2013
GQ369956.1,2013
GQ369955.1,2013
GQ369954.1,2013
GQ369953.1,2013
EU715984.1,2013
EU715983.1,2013
EU715982.1,2013
EU715981.1,2013
EU715980.1,2013
EU715979.1,2013
EU715978.1,2013
EU715977.1,2013
HM044304.1,2013
AF458656.1,2013
AF458655.1,2013
AF458654.1,2013
AF458653.1,2013
AF458652.1,2013
AF458651.1,2013
AF458650.1,2013
AF458649.1,2013
AF458648.1,2013
EU375755.1,2013
EU375754.1,2013
EU375753.1,2013
EU375752.1,2013
EU375751.1,2013
EU375750.1,2013
EU139114.1,2013
EU139113.1,2013
EU139112.1,2013
EU139111.1,2013
EU139110.1,2013
EU139109.1,2013
EU139108.1,2013
EU139107.1,2013
EU139106.1,2013
EU139105.1,2013
EU139104.1,2013
EU139103.1,2013
EU139102.1,2013
EU139101.1,2013
EU139100.1,2013
EU139098.1,2013
EU139097.1,2013
EU139096.1,2013
EU139095.1,2013
EU139094.1,2013
EU139093.1,2013
EU139092.1,2013
EU139091.1,2013
EU139090.1,2013
EU139089.1,2013
EU139088.1,2013
EU139087.1,2013
EU139086.1,2013
EU139085.1,2013
EU139084.1,2013
EU139083.1,2013
EU139082.1,2013
EU139081.1,2013
EU139080.1,2013
EU139079.1,2013
EU139078.1,2013
EU139077.1,2013
EU139076.1,2013
FJ904785.1,2013
FJ904784.1,2013
FJ904783.1,2013
AY037048.1,2013
AY037047.1,2013
AY037046.1,2013
AY037045.1,2013
AY037044.1,2013
AY037043.1,2013
AY037042.1,2013
AY037041.1,2013
AY037040.1,2013
AY037039.1,2013
AY037038.1,2013
AY037037.1,2013
AY037036.1,2013
AY037035.1,2013
AY037034.1,2013
AY037033.1,2013
AY037032.1,2013
AY037031.1,2013
AY037030.1,2013
AY037029.1,2013
AY037028.1,2013
AY037027.1,2013
AY037026.1,2013
AY037025.1,2013
AY037024.1,2013
AY037023.1,2013
AY037022.1,2013
AY037021.1,2013
AY037020.1,2013
AY037019.1,2013
AY037018.1,2013
AY037017.1,2013
AY037016.1,2013
AY037015.1,2013
AY037014.1,2013
AY037013.1,2013
AY037012.1,2013
AY037011.1,2013
AY037010.1,2013
AY037009.1,2013
DQ917481.1,2013
DQ917480.1,2013
DQ917479.1,2013
DQ917478.1,2013
DQ917477.1,2013
DQ917476.1,2013
DQ917475.1,2013
DQ917474.1,2013
DQ917473.1,2013
DQ917472.1,2013
DQ917471.1,2013
DQ917470.1,2013
DQ917469.1,2013
DQ917468.1,2013
DQ917467.1,2013
DQ917466.1,2013
DQ917465.1,2013
DQ917464.1,2013
DQ917463.1,2013
DQ917462.1,2013
DQ917461.1,2013
DQ917460.1,2013
DQ917459.1,2013
DQ917458.1,2013
DQ917457.1,2013
DQ917456.1,2013
DQ917455.1,2013
DQ917454.1,2013
DQ917453.1,2013
GQ903688.1,2013
GQ903687.1,2013
GQ903686.1,2013
GQ337695.1,2013
GQ337694.1,2013
GQ337693.1,2013
GQ337692.1,2013
GQ337691.1,2013
FJ711075.1,2013
FJ711074.1,2013
FJ711073.1,2013
FJ711072.1,2013
FJ031235.1,2013
EU925391.1,2013
EU925390.1,2013
EU746659.1,2013
EU109773.1,2013
EU109772.1,2013
EU109771.1,2013
EU109770.1,2013
EU109769.1,2013
EU109768.1,2013
EU109767.1,2013
EU109766.1,2013
FJ848880.1,2013
FJ848879.1,2013
AY043460.1,2013
AY043459.1,2013
KF569809.1,2013
KF569808.1,2013
KF569807.1,2013
KF569806.1,2013
KF533141.1,2013
KF533140.1,2013
KF533139.1,2013
KF533138.1,2013
KF533137.1,2013
KF672758.1,2013
KF672757.1,2013
KF672756.1,2013
KF672755.1,2013
KF672754.1,2013
KF672753.1,2013
KF385865.1,2013
KF385864.1,2013
KF385863.1,2013
KF385862.1,2013
KF385861.1,2013
KF228934.1,2013
KF228935.1,2013
KF228936.1,2013
KF228937.1,2013
KF228938.1,2013
KF228939.1,2013
KF228940.1,2013
KF224903.1,2013
KF224902.1,2013
KF224901.1,2013
KF224900.1,2013
KF224899.1,2013
KF214763.1,2013
KF214762.1,2013
KF199187.1,2013
KF199186.1,2013
KF199185.1,2013
KF199184.1,2013
KF199183.1,2013
KF199182.1,2013
KF199181.1,2013
KF199180.1,2013
KF199179.1,2013
KF199178.1,2013
KF199177.1,2013
KF199176.1,2013
KF199175.1,2013
KF199174.1,2013
KF149864.1,2013
KF149863.1,2013
KF027111.1,2013
KF027110.1,2013
KC492073.1,2012
KC492072.1,2012
KC492065.1,2012
KC492064.1,2012
KC492063.1,2012
KC492062.1,2012
JX315599.1,2011
JX315584.1,2011
JX315583.1,2011
JX315582.1,2011
JX315581.1,2011
JX315580.1,2011
JX315579.1,2011
JX315578.1,2011
JX315577.1,2011
JX315576.1,2011
